dire (à),to tell
diriger,to manage
diriger,to be head of
diriger,to be in charge of
distribuer,to distribute
diviser,to separate
diviser (par),to divide by
donner,to give
double-clic - faire un double-clic,to double-click
double-cliquer,to double-click
douter,to doubt
droit – avoir droit à (+ nom),to be entitled to
droit – avoir le droit de (+ verbe),to be entitled to
droit – avoir le droit de (+ verbe),to be allowed
dû – être dû à,to be due to
due – être due à,to be due to
durer,to last
échéance – devancer l'échéance,to beat the deadline
échéances - respecter les échéances,to meet deadlines
échéances - se fixer des échéances,to etablish deadlines
échouer,to fail
effacer,to delete
effacer,to erase
effet – avoir pour effet de,to have the effect of
égaler,to equal (2 + 2 = 4)
éliminer,to eliminate
empêcher (de),to stop
empêcher (de),to prevent
empocher,to pocket
encontre – aller à l'encontre de,to go against
engager,to hire
engager – s'engager à,to commit oneself to
enjoindre (à),to enjoin
ennuager – s'ennuager,to cloud over
enregistrer,to save
entendre dire que,to hear that
entendre parler de,to hear of /about
entraîner,to lead to
entreprendre,to take on
entrer,to enter
entrer en vigueur,to come into force
envisager (de),to think about
envoyer (à),to send
épeler,to spell
essai - mettre à l'essai,to test
établir,to etablish
établir,to determine
être,to be
être à,to belong to
être absent,to be absent
être absent,to be away
être absente,to be absent
être absente,to be away
être apte à,to be capable of
être au courant (de),to be aware
être au courant (de),to be well-informed
être au courant (de),to know (about)
être averti (de),to be warned of
être averti (de),to be informed of
être averti que,to be warned that
être averti que,to be informed that
être avertie (de),to be warned of
être avertie (de),to be informed of
être avertie que,to be warned that
être avertie que,to be informed that
être capable (de),to be capable of
être causé par,to be caused by
être causée par,to be caused by
être certain (de),to be certain of
être certain que,to be certain that
être certaine (de),to be certain of
être certaine que,to be certain that
être compétent,to be competent
être compétente,to be competent
être conforme à,to conform to
être convaincu (de),to be convinced of
être convaincu que,to be convinced that
être convaincue (de),to be convinced of
être convaincue que,to be convined that
être d’accord,to agree
être dans l’incapacité de,to be unable to
être dans l’incapacité de,to be incapable of
être de,to be from
être dû à,to be due to
être due à,to be due to
être en cours de,to be in the process of
être en désaccord,to disagree
être en mesure de,to be in a position to
être en retard,to be late
être ici,to be here
être incapable (de),to be incapable of
être incapable (de),to be unable to
être incompétent,to be incompetent
être incompétente,to be incompetent
être informé (de),to be informed of
être informé que,to be informed that
être informée (de),to be informed of
être informée que,to be informed that
être là,to be there
être membre de,to be a member of
être mieux de,to be better
être natif de,to be a native of
être natif de,to come from
être native de,to be a native of
être native de,to come from
être obligé (de),to be required to
être obligée (de),to be required to
être occasionné par,to be caused by
être occasionnée par,to be caused by
être originaire de,to be a native of
être originaire de,to come from
être parti,to be out
être parti,to be away
être parti,to be left
être partie,to be out
être partie,to be away
être partie,to be left
être prévenu (de),to be warned of
être prévenu que,to be warned that
être prévenue (de),to be warned of
être prévenue que,to be warned that
être prié de,to be asked to
être priée de,to be asked to
être rendu (à),to be at
être rendue (à),to be at
être retardé,to be delayed
être retardée,to be delayed
être sorti,to be out
être sorti,to be gone
être sortie,to be out
être sortie,to be gone
être sûr que,to be sure that
être sûre que,to be sure that
être tenu de,to be required to
être tenue de,to be required to
évaluer,to evaluate
exclure (de),to exclude
excuser,to excuse
excuser - s'excuser,to apologize
exécuter,to execute
exiger,to require
exiger,to demand
exiger,to insist
expliquer (à),to explain
faire,to do
faire,to make
faire beau,to be nice (out)
faire frais,to be cool
faire froid,to be cold
faire l’affaire,to suit
faire le bilan,to evaluate
faire le point (sur),to take stock (of)
faire mauvais,to be not nice (out)
faire partie de,to be a member of
faire partie de,to be part of
faire soleil,to be sunny
faire un choix,to make a choice
faire un double -clique,to double-click
faire une demande,to make a request
faire une demande,to apply for
falloir,to have to
fermer les yeux (sur quelque chose),to turn a blind eye (to something)
fier – se fier à,to rely on
fin - mettre fin à,to terminate
financer,to finance
finir,to finish
finir – pour finir,to end
fixer - se fixer des échéances,to etablish deadlines
fort – parler plus fort,to speak up
fournir,to provide
fournir,to supply
frais – faire frais,to be cool
froid – faire froid,to be cold
gagner,to win
gagner,to earn
hésiter,to hesitate
ici – être ici,to be here
identifier,to identify
identifier – s'identifier,to identify oneself
il se peut que,to be possible (that)
implanter,to set up
impliquer,to imply
importer,to matter
impression – avoir l'impression de,to have the impression of
impression – avoir l'impression que,to have the impression that
incapable – être incapable de,to be incapable of
incapable – être incapable de,to be unable to
incapacité – être dans l'incapacité de,to be incapable of
incompétent – être incompétent,to be incompetent
incompétent – être incompétente,to be incompetent
informé – être informé de,to be informed of
informé – être informé que,to be informed that
informée – être informée de,to be informed of
informée – être informée que,to be informed that
informer – s’informer (de),to inquire (about)
informer – s’informer (de),to find out (about)
informer – s’informer (de),to inform oneself (about)
inscrire,to register
inscrire – s'inscrire (à),to register (for)
insister,to insist
intention – avoir l'intention de,to plan to
intention – avoir l'intention de,to have the intention of
intention – avoir l'intention de,to intend to
interdire (à),to prohibit
jour - mettre à jour,to update
là – être là,to be there
laisser – se laisser dire,to hear
laisser le choix (à),to give the choice (to)
lieu – avoir lieu,to take place
limiter – se limiter à,to keep to
lire,to read
localiser,to localize
manger,to eat
manquer de,to lack
manquer de,to be short of
membre – être membre de,to be a member of
mesure – être en mesure de,to be in a position to
mettre,to put
mettre à jour,to update
mettre à l’essai,to test
mettre à part,to put . . . aside
mettre de côté,to put . . . aside
mettre de l’avant,to promote
mettre en ouvre,to implement
mettre en application,to apply
mettre en veilleuse,to put on the back burner
mettre en vigueur,to enforce
mettre fin à,to terminate
mettre sur pied,to set up
mieux – aimer mieux,to prefer
mieux – être mieux de,to be better
mieux – valoir mieux,to be better
modifier,to modify
moins,to (hour)
moyen – y avoir moyen de,to be a way of
moyen – y avoir moyen que,to be a way that
multiplier (par),to multiply by
