indéfini (adj. m.),indefinite
indéfinie (adj. f.),indefinite
indispensable (adj. m./f.),indispensable
inefficace (adj. m./f.),inefficient
inférieur (adj. m.),inferior
inférieure (adj. f.),inferior
intégral (adj. m.),unabridged
intégrale (adj. f.),unabridged
intègre (adj. m./f.),upright
intelligent (adj. m.),intelligent
intelligente (adj. f.),intelligent
interdit (adj. m.),prohibited
interdite (adj. f.),prohibited
interrogatif (adj. m.),interrogative
interrogative (adj. f.),interrogative
inutile (adj. m./f.),useless
jaune (adj. m./f.),yellow
jeune (adj. m./f.),young
joint (adj. m.),enclosed
jointe (adj. f.),enclosed
joli (adj. m.),nice
joli (adj. m.),pretty
jolie (adj. f.),nice
jolie (adj. f.),pretty
jovial (adj. m.),jovial
joviale (adj. f.),jovial
large (adj. m./f.),wide
lent (adj. m.),slow
lente (adj. f.),slow
libre (adj. m./f.),free
long (adj. m.),long
longue (adj. f.),long
loyal (adj. m.),loyal
loyale (adj. f.),loyal
maigre (adj. m./f.),skinny
meilleur (adj. m.),better
meilleure (adj. f.),better
même (adj. m./f.),same
métallique (adj. m./f.),metallic
méthodique (adj. m./f.),methodical
mince (adj. m./f.),thin
nécessaire (adj. m./f.),necessary
neigeux (adj. m.),snowy
nerveuse (adj. f.),nervous
nerveux (adj. m.),nervous
noir (adj. m.),black
noire (adj. f.),black
normal (adj. m.),normal
normale (adj. f.),normal
nouveau (adj. m.),new
nouvelle (adj. f.),new
nuageux (adj. m.),cloudy
numérique (adj. m./f.),numerical
obèse (adj. m./f.),obese
obligatoire (adj. m./f.),mandatory
occupé (adj. m.),busy
occupée (adj. f.),busy
optionnel (adj. m.),optional
optionnelle (adj. f.),optional
orageux (adj. m.),stormy
oral (adj. m.),oral
orale (adj. f.),oral
ordinaire (adj. m./f.),ordinary
ouvert (adj. m.),open
ouverte (adj. f.),open
ovale (adj. m./f.),oval
pâle (adj. m./f.),pale
paresseuse (adj. f.),lazy
paresseux (adj. m.),lazy
parfait (adj. m.),perfect
parfaite (adj. f.),perfect
partiel (adj. m.),partial
partielle (adj. f.),partial
patient (adj. m.),patient
patiente (adj. f.),patient
performant (adj. m.),performing
performante (adj. f.),performing
périodique (adj. m./f.),periodical
petit (adj. m.),small
petite (adj. f.),small
pluvieux (adj. m.),rainy
poli (adj. m.),polite
polie (adj. f.),polite
possible (adj. m./f.),possible
précédent (adj. m.),previous
précédente (adj. f.),previous
précis (adj. m.),precise
précise (adj. f.),precise
premier (adj. m.),first
première (adj. f.),first
présent (adj. m.),present
présentable (adj. m./f.),presentable
présente (adj. f.),present
prêt (adj. m.),ready
prête (adj. f.),ready
principal (adj. m.),main
principale (adj. f.),main
prioritaire (adj. m./f.),that has priority
probable (adj. m./f.),probable
prochain (adj. m.),next
prochaine (adj. f.),next
professionnel (adj. m.),professional
professionnelle (adj. f.),professional
profond (adj. m.),deep
profonde (adj. f.),deep
pronominal (adj. m.),reflexive
pronominale (adj. f.),reflexive
public (adj. m.),public
publique (adj. f.),public
qualifié (adj. m.),skilled
qualifiée (adj. f.),skilled
quinquennal (adj. m.),five-year
quinquennale (adj. f.),five-year
quotidien (adj. m.),daily
quotidienne (adj. f.),daily
raide (adj. m./f.),stiff
raisonnable (adj. m./f.),reasonable
rationnel (adj. m.),rational
rationnelle (adj. f.),rational
rectangulaire (adj. m./f.),rectangular
relatif (adj. m.),relative
relative (adj. f.),relative
réservé (adj. m.),reserved
réservée (adj. f.),reserved
responsable (adj. m./f.),responsible
restreint (adj. m.),restricted
restreinte (adj. f.),restricted
rigide (adj. m./f.),rigid
rond (adj. m.),round
ronde (adj. f.),round
rouge (adj. m./f.),red
rousse (adj. f),red-haired
rousselé (adj. m.),freckled
rousselée (adj. f.),freckled
roux (adj. m.),red-haired
sage (adj. m./f.),wise
sale (adj. m./f.),dirty
satisfaisant (adj. m.),satisfactory
satisfaisante (adj. f.),satisfactory
second (adj. m.),second
seconde (adj. f.),second
semblable (adj. m./f.),alike
sérieuse (adj. f.),serious
sérieux (adj. m.),serious
serviable (adj. m./f.),helpful
seul (adj. m.),only
seule (adj. f.),only
similaire (adj. m./f.),similar
simple (adj. m./f.),simple
social (adj. m.),social
sociale (adj. f.),social
souple (adj. m./f.),flexible
stressé (adj. m.),stressed
stressée (adj. f.),stressed
suffisant (adj. m.),sufficient
suffisante (adj. f.),sufficient
suivant (adj. m.),next
suivante (adj. f.),next
suivi (adj. m.),followed
suivie (adj. f.),followed
supérieur (adj. m.),superior
supérieure (adj. f.),superior
svelte (adj. m./f.),slender
sympathique (adj. m./f.),nice
synthétique (adj. m./f.),synthetic
tapant (adj. m.),on the dot (hour)
tierce (adj. f.),third
tiers (adj. m.),third
tolérant (adj. m.),tolerant
tolérante (adj. f.),tolerant
toléré (adj. m.),tolerated
tolérée (adj. f.),tolerated
triangulaire (adj. m./f.),triangular
triennal (adj. m.),three-year
triennale (adj. f.),three-year
uniforme (adj. m./f.),uniform
usagé (adj. m.),used
usagée (adj. f.),used
usé (adj. m.),worn out
usée (adj. f.),worn out
utile (adj. m./f.),useful
utilisé (adj. m. ),used
utilisée (adj. f. ),used
valable (adj. m./f.),worthwhile
venteux (adj. m.),windy
vert (adj. m.),green
verte (adj. f.),green
vieille (adj. f.),old
vieux (adj. m.),old
